BS;FG-St;PF-St;*S/*P;SET;G2;G3;ZP;Material;Benennung;Denom.Estruct.;Vorhaben;Cese (Entfall);PRNummer;Fecha SOP;Früh. SOP-Entfall
2;;;*P;M12;M;;F;5QS100611BS;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V300N.;;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z6+9M0;23/11/2026;31/12/9999
2;;;*P;M12;M;;F;5QS100611BT;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;.ZL02011;27V300E2;+D3Q+T3J+1M5/1M6/1M9+8Z6+9M9;16/09/2024;23/11/2026
2;;;*P;M12;M;;F;5QS100611BT;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;.ZL02011;25L300A.;+D3Q+T3J+1D8+8Z6+9M9;16/09/2024;17/02/2025
2;;;*P;M12;M;;F;5QS100611BT;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V300E2;27V300N.;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z6+9M9;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611BT;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V300N.;;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z6+9M9;23/11/2026;31/12/9999
1;P-FG;P-FG;*P;M12;M;;F;5QS100611BN;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;26V661R.;26V661R4;+DT7+T1F+1M5/1M6/1M9+8Z4/8Z5;14/06/2027;14/06/2027
1;P-FG;P-FG;*P;M12;M;;F;5QS100611CE;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;26V661R.;26V661R4;+DT7+T1F+1D0+8Z6;14/06/2027;14/06/2027
1;;;*P;M12;M;;F;5QS100611CF;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;26V661R.;26V661R4;+DT7+T1F+1M5/1M6/1M9+8Z6;14/06/2027;14/06/2027
1;P-FG;P-FG;*P;M12;M;;F;5QS100611BN;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V661R4;;+DF9+T1F+8Z6;14/06/2027;31/12/9999
1;P-FG;P-FG;*P;M12;M;;F;5QS100611BB;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V661R4;;+DF9+T1F+8Z4/8Z5;14/06/2027;31/12/9999
1;P-FG;P-FG;*P;M12;M;;F;5QS100611CQ;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;29V660D.;;+T32;12/06/2028;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611C;MANGUITO RADIADOR.;1,5L/110KW mHEV;.ZL02011;;+DS9+N09;14/10/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611A;MANGUITO RADIADOR.;;.ZL02011;;+T1C;16/09/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AK;MANGUITO RADIADOR.;1,4/110KW;.ZL02011;;+DG6+TL1+1D0+8Z4/8Z5;17/02/2025;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AM;MANGUITO RADIADOR.;1,4/110KW;.ZL02011;27V300E2;+DG6+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;23/11/2026
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AM;MANGUITO RADIADOR.;1,4/110KW;.ZL02011;25L300A.;+DG6+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;*P;M12;M;;F;5QS100611AM;MANGUITO RADIADOR.;1,4/110KW;27V300E2;27V300N.;+DG6+TL1+1M5/1M6/1M9+5QD+8Z4/8Z5;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AM;MANGUITO RADIADOR.;1,4/110KW;27V300N.;;+DG6+TL1+1M5/1M6/1M9+5QD+8Z4/8Z5;23/11/2026;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AM;MANGUITO RADIADOR.;1,4/110KW;.ZL02011;;+DG6+TL1+8Z6;17/02/2025;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611CJ;MANGUITO RADIADOR.;1,4/110KW;25V661Q.;;+DS9+T57;23/11/2026;31/12/9999
2;K-FG;K-FG;*P;M13;M;;E;5QS000118B;SILENCIADOR;;.ZL02011;;+DG6+TL1+1X0+5QD+7MM;17/02/2025;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000118;SILENCIADOR;;.ZL02011;VQ57628.;+DS9+N09+1X0+4BI+5QD;14/10/2024;14/10/2024
2;B-FG;K-FG;*P;M13;M;;E;5QS000118;SILENCIADOR;;.ZL02011;25V729D1;+DS9+N09+1X0+4WE+5QD;14/10/2024;27/10/2025
2;K-FG;K-FG;*P;M13;M;;E;5QS000118;SILENCIADOR;;VQ60952.;;+DS9+N09+1X0+4VN+5QD;14/10/2024;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000118;SILENCIADOR;;25V663P.;26V729P.;+DS9+N09+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000118D;SILENCIADOR;;25V661Q6;28V144B.;+M5D+T57+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000118D;SILENCIADOR;;28V144B.;;+M5D+T57+1X0+4WA+5QD;14/06/2027;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;.ZL02011;VQ57628.;+DE3+T1C+1X0+4BI+5QD;25/11/2024;25/11/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;.ZL02011;25V729D1;+DE3+T1C+1X0+4WE+5QD;25/11/2024;27/10/2025
2;B-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;VQ60952.;VQ62035.;+DE3+T1C+1X0+4VN+5QD;25/11/2024;25/11/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;26V661J1;;+DE3+T1C+1X0+4VN+5QD;27/10/2025;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;25V663L.;26V167M.;+DE3+T1C+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;25V661Q6;28V144B.;+DE3+TU6+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000118A;SILENCIADOR;;28V144D.;;+DE3+TU6+1X0+4WA+5QD;14/06/2027;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;.ZL02011;VQ57628.;+ME4+T1C+1X0+4BI+5QD;16/09/2024;16/09/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;.ZL02011;25V729D1;+ME4+T1C+1X0+4WE+5QD;16/09/2024;27/10/2025
2;B-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;VQ60952.;VQ62035.;+ME4+T1C+1X0+4VN+5QD;16/09/2024;16/09/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;26V661J1;;+ME4+T1C+1X0+4VN+5QD;27/10/2025;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;25V663L.;26V167M.;+ME4+T1C+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000118A;SILENCIADOR;;25V661Q6;28V144B.;+ME4+TU6+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000118A;SILENCIADOR;;28V144D.;;+ME4+TU6+1X0+4WA+5QD;14/06/2027;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000119;SILENCIADOR;;.ZL02011;VQ64059.;+D3Q+T3J+1X1+4WE+5QD;16/09/2024;17/02/2025
2;K-FG;K-FG;*P;M13;M;;E;5QS000119;SILENCIADOR;;VQ60199.;;+D3Q+T3J+1X1+4VN+5QD;16/09/2024;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000119;SILENCIADOR;;25V663N.;26V729P.;+D3Q+T3J+1X1+4BT+5QD;07/07/2025;07/07/2025
1;;;*P;M13;M;;E;5QS000119A;SILENCIADOR;;29V660D.;;+M1A+T32+0P0+1X1+4WA+5QD;12/06/2028;31/12/9999
2;K-FG;K-FG;*P;M13;M;;E;5QS000120;TRAMO POSTERIOR;;.ZL02011;;+DG6+TL1+1X0+5QD+7MM;17/02/2025;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000120;TRAMO POSTERIOR;;.ZL02011;VQ57628.;+DS9+N09+1X0+4BI+5QD;14/10/2024;14/10/2024
2;B-FG;K-FG;*P;M13;M;;E;5QS000120;TRAMO POSTERIOR;;.ZL02011;25V729D1;+DS9+N09+1X0+4WE+5QD;14/10/2024;27/10/2025
2;K-FG;K-FG;*P;M13;M;;E;5QS000120;TRAMO POSTERIOR;;VQ60952.;;+DS9+N09+1X0+4VN+5QD;14/10/2024;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000120;TRAMO POSTERIOR;;25V663P.;26V729P.;+DS9+N09+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000120F;TRAMO POSTERIOR;;25V661Q6;28V144B.;+M5D+T57+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000120F;TRAMO POSTERIOR;;28V144B.;;+M5D+T57+1X0+4WA+5QD;14/06/2027;31/12/9999
2;;;*P;M13;M;;E;5QS000120B;TRAMO POSTERIOR;;.ZL02011;VQ57628.;+DF9+T2C+1X1+4BI+5QD;20/01/2025;20/01/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000120B;TRAMO POSTERIOR;;.ZL02011;VQ64059.;+DF9+T2C+1X1+4WE+5QD;20/01/2025;17/02/2025
2;K-FG;K-FG;*P;M13;M;;E;5QS000120B;TRAMO POSTERIOR;;VQ60199.;;+DF9+T2C+1X1+4VN+5QD;20/01/2025;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000120B;TRAMO POSTERIOR;;25V663N.;26V729P.;+DF9+T2C+1X1+4BT+5QD;07/07/2025;07/07/2025
1;B-FG;B-FG;*P;M13;M;;E;5QS000120G;TRAMO POSTERIOR;;27V661R4;28V144B.;+DF9+T1F+1X1+4IJ+5QD;14/06/2027;14/06/2027
1;;;*P;M13;M;;E;5QS000120G;TRAMO POSTERIOR;;28V144C.;;+DF9+T1F+1X1+4WA+5QD;14/06/2027;31/12/9999
1;B-FG;K-FG;*P;M13;M;;E;5QS000120H;TRAMO POSTERIOR;;27V661R4;28V144B.;+D14+T1F+1X1+4IJ+5QD;14/06/2027;14/06/2027
1;B-FG;K-FG;*P;M13;M;;E;5QS000120H;TRAMO POSTERIOR;;28V144C.;;+D14+T1F+1X1+4WA+5QD;14/06/2027;31/12/9999
2;;;*P;M13;M;;E;5QS000120E;TRAMO POSTERIOR;;.ZL02011;VQ57628.;+D3Q+T3J+1X1+4BI+5QD;16/09/2024;16/09/2024
2;B-FG;B-FG;*P;M13;M;;E;5QS000120E;TRAMO POSTERIOR;;.ZL02011;VQ64059.;+D3Q+T3J+1X1+4WE+5QD;16/09/2024;17/02/2025
2;K-FG;K-FG;*P;M13;M;;E;5QS000120E;TRAMO POSTERIOR;;VQ60199.;;+D3Q+T3J+1X1+4VN+5QD;16/09/2024;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000120E;TRAMO POSTERIOR;;25V663N.;26V729P.;+D3Q+T3J+1X1+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;.ZL02011;VQ57628.;+DE3+T1C+1X0+4BI+5QD;25/11/2024;25/11/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;.ZL02011;25V729D1;+DE3+T1C+1X0+4WE+5QD;25/11/2024;27/10/2025
2;B-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;VQ60952.;VQ62035.;+DE3+T1C+1X0+4VN+5QD;25/11/2024;25/11/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;26V661J1;;+DE3+T1C+1X0+4VN+5QD;27/10/2025;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;25V663L.;26V167M.;+DE3+T1C+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;25V661Q6;28V144B.;+DE3+TU6+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;28V144D.;;+DE3+TU6+1X0+4WA+5QD;14/06/2027;31/12/9999
2;B-FG;B-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;.ZL02011;VQ57628.;+ME4+T1C+1X0+4BI+5QD;16/09/2024;16/09/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;.ZL02011;25V729D1;+ME4+T1C+1X0+4WE+5QD;16/09/2024;27/10/2025
2;B-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;VQ60952.;VQ62035.;+ME4+T1C+1X0+4VN+5QD;16/09/2024;16/09/2024
2;K-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;26V661J1;;+ME4+T1C+1X0+4VN+5QD;27/10/2025;31/12/9999
2;B-FG;K-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;25V663L.;26V167M.;+ME4+T1C+1X0+4BT+5QD;07/07/2025;07/07/2025
2;B-FG;B-FG;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;25V661Q6;28V144B.;+ME4+TU6+1X0+4IJ+5QD;23/11/2026;14/06/2027
1;;;*P;M13;M;;E;5QS000120A;TRAMO POSTERIOR;;28V144D.;;+ME4+TU6+1X0+4WA+5QD;14/06/2027;31/12/9999
1;;;*P;M13;M;;E;5QS000120J;TRAMO POSTERIOR;;29V660D.;;+M1A+T32+0P0+1X1+4WA+5QD;12/06/2028;31/12/9999
